rank,market,languages,name,content,tier,score,max_resolution,quality_tier,hdr,multi_audio,original_audio,quality_confidence,access_model,route,hub,hub_type,note,source_url
61,Brésil,pt-BR,goyabu,anime,B,88,0,HD/unknown,False,False,False,,,https://goyabu.io/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
48,Bulgarie,bg,Filmifen,movie,A,90,0,HD/unknown,False,False,False,,,https://filmifen.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
78,Bulgarie,bg,BGTVI,tv,B,84,0,HD/unknown,False,False,False,,,https://bgtvi.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
79,Bulgarie,bg,Filmi7,movie,B,84,0,HD/unknown,False,False,False,,,https://filmi7.net/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
71,Chili,es,CNTV Play,"movie,tv,documentary",B,86,0,HD/unknown,False,False,False,,,https://cntvplay.cl/portada/,,official,Official free Chilean streaming platform with more than 150 series plus films; geographically restricted to Chile.,https://cntvplay.cl/portada/
97,Chili,es,CCLM,"movie,archive",C,76,0,HD/unknown,False,False,False,,,https://www.cclm.cl/,,archive,Chilean archive candidate; kept for country coverage.,https://fmhy.net/non-english
30,Chine / sinophone,zh,MoMoVOD,"movie,tv,anime",A,92,0,HD/unknown,False,False,False,,,https://momovod.app/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
36,Chine / sinophone,zh,VidHub,"movie,tv,anime",A,91,0,HD/unknown,False,False,False,,,https://vidhub.me/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
62,Chine / sinophone,zh,xiaobaotv,"movie,tv,anime",B,88,0,HD/unknown,False,False,False,,,https://www.xiaobaotv.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
87,Colombie,es,RTVCPlay,"tv,public",B,83,0,HD/unknown,False,False,False,,,https://rtvcplay.co/,,official,Public Colombian catalogue; useful country-coverage candidate.,https://fmhy.net/non-english
93,Colombie,es,Retina Latina,"movie,documentary",C,78,0,HD/unknown,False,False,False,,,https://www.retinalatina.org/,,regional-official,Regional Latin American catalogue; lower general breadth but useful coverage.,https://fmhy.net/non-english
63,Corée du Sud,ko,OnDemandKorea,"movie,tv",B,88,0,HD/unknown,False,False,False,,,https://www.ondemandkorea.com/,,official,Strong Korean catalogue candidate; assess geo/session requirements.,https://fmhy.net/non-english
88,Corée du Sud,ko,AQ Stream,"tv,live",B,82,0,HD/unknown,False,False,False,,,https://aqstream.com/,,direct,Live-oriented candidate; verify VOD usefulness.,https://fmhy.net/non-english
94,Corée du Sud,ko,Naver TV,"tv,video",C,78,0,HD/unknown,False,False,False,,,https://tv.naver.com/,,official,Broad video platform; lower priority than direct VOD catalogues.,https://fmhy.net/non-english
1,Espagne,"es,VO",HDFull,"movie,tv,anime",A,100,2160,4K/UHD,False,True,True,high,free-web,https://dominioshdfull.com/,https://dominioshdfull.com/,domain-hub,3-type Spanish candidate with stable domain hub; explicit 4K capability retained as a quality-first row.,https://dominioshdfull.com/
16,Espagne,es,Series.ly,"movie,tv,anime",A,97,0,HD/unknown,False,False,False,,,https://series.ly/,https://enlaces.ly/,status,Strong candidate: dedicated stable link/status endpoint available.,https://fmhy.net/non-english
31,Espagne,es,Cinezo,"movie,tv,anime",A,92,0,HD/unknown,False,False,False,,,https://www.cinezo.org/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
64,Espagne,es,Tubepelis,"movie,tv",B,88,0,HD/unknown,False,False,False,,,https://www.tubepelis.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
72,Finlande,fi,Areena,"movie,tv",B,86,0,HD/unknown,False,False,False,,,https://areena.yle.fi/,,official,Official/free catalogue candidate; evaluate API/scrape feasibility and geo constraints.,https://fmhy.net/non-english
90,Finlande,fi,Elonet,movie,C,80,0,HD/unknown,False,False,False,,,https://elonet.finna.fi/,,archive,"Archive candidate; useful for country coverage, lower general-catalogue breadth.",https://fmhy.net/non-english
98,Finlande,fi,TVKaista,tv,C,76,0,HD/unknown,False,False,False,,,https://www.tvkaista.org/,,iptv,Secondary TV candidate; verify VOD compatibility before onboarding.,https://fmhy.net/non-english
5,France,"fr,en/VO",Juststream,"movie,tv",A,99,2160,4K/UHD,False,True,True,high,free-web,https://juststreaming.lat/,,direct,"Explicit HD/4K + VF/VOSTFR. Keep as a quality-layer candidate, not a replacement for curated NiakVIO FR providers.",https://juststreaming.lat/
12,France,"fr,en/VO",Tirexo,"movie,tv,anime",A,98,2160,4K/UHD,False,True,True,medium,free-web,https://tirexo.cfd/,,direct,Explicit 720p/1080p/4K and VF/VOSTFR; retain only after runtime/player validation.,https://tirexo.cfd/
17,France,"fr,en/VO",Dopriv,"movie,tv,anime",A,97,2160,4K/UHD,False,True,True,medium,free-web,https://dopriv.site/,,direct,"Explicit HD 1080p / 4K, VF and VOSTFR. Runtime verification required before onboarding.",https://dopriv.site/
20,France,"fr,en/VO",Malgrim,"movie,tv,anime",A,96,2160,4K/UHD,False,True,True,medium,free-web,https://malgrim.digital/,,direct,Explicit HD/4K and VF/VOSTFR; quality candidate subject to player-route validation.,https://malgrim.digital/
37,Grèce,el,Greek-Movies,"movie,tv,live",A,91,0,HD/unknown,False,False,False,,,https://greek-movies.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
58,Grèce,el,xrysoi,"movie,tv",B,89,0,HD/unknown,False,False,False,,,https://xrysoi.pro/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
69,Grèce,el,filmatic,"movie,tv",B,87,0,HD/unknown,False,False,False,,,https://filmatic.online/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
21,Hongrie,"hu,en/VO",StreamZona,"movie,tv",A,96,2160,4K/UHD,False,True,True,high,subscription/trial,https://streamzona.hu/,,direct,"4K premieres + VOD catalogue; useful Hungarian quality source, but account/session integration is required.",https://streamzona.hu/
38,Hongrie,hu,moviedrive,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://moviedrive.hu/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
49,Hongrie,hu,hdmozi,"movie,tv",A,90,0,HD/unknown,False,False,False,,,https://hdmozi.hu/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
6,Inde,"ml,ta,hi,en-subs",IBA Movies,"movie,tv",A,99,2160,4K/UHD,False,True,True,high,web,https://www.ibamovies.com/,,official,4K South-Indian catalogue across Malayalam/Tamil/Hindi with English subtitles; high marginal language value.,https://www.ibamovies.com/
23,Inde,"hi,en",CinemaOS,"movie,tv,anime",A,94,0,HD/unknown,False,False,False,,,https://cinemaos.live/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
39,Inde,"hi,en",MultiMovies,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://multimovies.wtf/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
50,Inde,"hi,en",1Tube,"movie,tv,anime",A,90,0,HD/unknown,False,False,False,,,https://www.1tube.org/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
27,Indonésie,id,idlixku,"movie,tv",A,93,0,HD/unknown,False,False,False,,,https://idlix.net/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
40,Indonésie,id,klikxxi,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://klikxxi.shop/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
59,Indonésie,id,OtakuDesu,anime,B,89,0,HD/unknown,False,False,False,,,https://otakudesu.cloud/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
60,Iran / persan,fa,RadioVatani,"movie,tv,live",B,89,0,HD/unknown,False,False,False,,,https://www.radiovatani.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
65,Iran / persan,fa,Nostalgik,"movie,tv,cartoon",B,88,0,HD/unknown,False,False,False,,,https://nostalgiktv.org/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
73,Iran / persan,fa,imvbox,"movie,tv",B,86,0,HD/unknown,False,False,False,,,https://www.imvbox.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
74,Israël,he,Animeil-TV,anime,B,86,0,HD/unknown,False,False,False,,,https://www.animeil-tv.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
77,Israël,he,aniplus,anime,B,85,0,HD/unknown,False,False,False,,,https://aniplus.co/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
95,Israël,he,JFC,"movie,archive",C,78,0,HD/unknown,False,False,False,,,https://jfc.org.il/,,archive,Archive candidate; useful for local catalogue coverage.,https://fmhy.net/non-english
2,Italie,"it,en/VO",StreamingCommunity,"movie,tv",A,100,2160,4K HDR,True,True,True,high,free-web,https://streamingcommunityz.tax/,https://telegra.ph/Link-Aggiornato-StreamingCommunity-09-29,status-page,4K-labelled catalogue observed; IT dubbing plus original-language/subtitle option. Stable Telegraph address page remains resolver source.,https://www.streamingcommunityof.it/
28,Italie,it,StreamingUnity,"movie,tv,anime",A,93,0,HD/unknown,False,False,False,,,https://streamingunity.vip/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
41,Italie,it,CB01,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://cb01uno.homes/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
51,Italie,it,AnimeSaturn,anime,A,90,0,HD/unknown,False,False,False,,,https://www.animesaturn.cx/,https://www.animesaturn.me/,mirror,Mirror/reference URL available; verify which endpoint is stable enough for hub use.,https://fmhy.net/non-english
75,Japon,ja,Abema,"tv,live",B,86,0,HD/unknown,False,False,False,,,https://abema.tv/,,official,Official/free catalogue candidate; evaluate API/scrape feasibility and geo constraints.,https://fmhy.net/non-english
80,Japon,ja,JapanTV,"tv,live",B,84,0,HD/unknown,False,False,False,,,https://japantv.app/,,direct,Country-coverage candidate; verify VOD catalogue compatibility.,https://fmhy.net/non-english
89,Japon,ja,NicoVideo,video,B,82,0,HD/unknown,False,False,False,,,https://www.nicovideo.jp/,,official,Broad video platform rather than a normal movie provider; lower onboarding priority.,https://fmhy.net/non-english
66,Ouzbékistan,uz,uzmax.net,"movie,tv",B,88,0,HD/unknown,False,False,False,,,https://uzmax.net/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
76,Ouzbékistan,uz,AsilMedia,"movie,tv",B,86,0,HD/unknown,False,False,False,,,https://asilmedia.org/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
52,Philippines,fil,Movies Ni Pipay,"movie,tv,anime",A,90,0,HD/unknown,False,False,False,,,https://moviesnipipay.me/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
67,Philippines,fil,Pinoy Movies Hub,"movie,tv,anime",B,88,0,HD/unknown,False,False,False,,,https://pinoymovieshub.cv/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
81,Philippines,fil,Pinoymoviepedia,"movie,tv",B,84,0,HD/unknown,False,False,False,,,https://pinoymoviepedia.ru/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
7,Pologne,"pl,en/VO",Ekino-TV,"movie,tv",A,99,2160,4K/UHD,False,True,True,high,free-web,https://ekino.ws/,https://ekino-tv.link/,mirror-index,Current catalogue includes a 4K section; stable mirror index retained as hub.,https://ekino.ws/
42,Pologne,pl,Filman,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://filman.cc/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
53,Pologne,pl,Zaluknij,"movie,tv,anime",A,90,0,HD/unknown,False,False,False,,,https://zaluknij.cc/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
82,Pérou,es,Series Peruanas,"tv,drama",B,84,0,HD/unknown,False,False,False,,,https://seriesperu.com/,,direct,Country-specific candidate; local source pool is sparse.,https://fmhy.net/non-english
83,Pérou,es,TVPerú Play,"tv,cultural,documentary",B,84,0,HD/unknown,False,False,False,,,https://www.tvperu.gob.pe/play,,official,Official TVPerú streaming/program catalogue; country-coverage candidate with lower movie breadth.,https://www.tvperu.gob.pe/play
13,Roumanie,"ro,en/VO",HDBOX,"movie,tv",A,98,2160,4K/UHD,False,True,True,high,subscription-web,https://hdbox.ro/,,direct,"16k+ movies, 1.4k series and HD/4K; Romanian + international catalogue. Auth feasibility to assess.",https://hdbox.ro/
32,Roumanie,ro,fsonline,"movie,tv",A,92,0,HD/unknown,False,False,False,,,https://www3.fsonline.app/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
54,Roumanie,ro,VeziSeriale,"movie,tv,anime",A,90,0,HD/unknown,False,False,False,,,https://veziseriale.org/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
24,Russie / RU,ru,Kinohub,"movie,tv,anime",A,94,0,HD/unknown,False,False,False,,,https://on.kinohub.vip/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
29,Russie / RU,ru,KinoGo,"movie,tv,anime",A,93,0,HD/unknown,False,False,False,,,https://kinogo.ec/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
55,Russie / RU,ru,KinoBase,"movie,tv",A,90,0,HD/unknown,False,False,False,,,https://kinobase.org/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
70,Slovaquie,sk,tuu.to,"movie,tv",B,87,0,HD/unknown,False,False,False,,,https://tuu.to/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
91,Slovaquie,sk,jOj Archive,"movie,tv",C,80,0,HD/unknown,False,False,False,,,https://www.joj.sk/,,official,Country-coverage candidate; assess usable catalogue routes.,https://fmhy.net/non-english
96,Slovaquie,sk,Markiza,"movie,tv",C,78,0,HD/unknown,False,False,False,,,https://www.markiza.sk/,,official,Country-coverage candidate; assess usable catalogue routes.,https://fmhy.net/non-english
84,Suède,sv,SVT Play,"movie,tv",B,84,0,HD/unknown,False,False,False,,,https://www.svtplay.se/,,official,Official Swedish catalogue; evaluate geo/API constraints.,https://fmhy.net/non-english
99,Suède,sv,Stockholmskallan,"movie,archive",C,74,0,HD/unknown,False,False,False,,,https://stockholmskallan.stockholm.se/,,archive,Public-domain archive; lower general-catalogue breadth.,https://fmhy.net/non-english
43,Tchéquie,cs,Bombuj,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://bombuj.si/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
56,Tchéquie,cs,Sledujteto,"movie,tv,anime",A,90,0,HD/unknown,False,False,False,,,https://www.sledujteto.cz/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
68,Tchéquie,cs,filmbot,"movie,tv,anime",B,88,0,HD/unknown,False,False,False,,,https://filmbot.tv/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
8,Turquie,tr,Dizi Film Botu,"movie,tv,anime",A,99,0,HD/unknown,False,False,False,,,https://t.me/Difix9Bot,https://t.me/Difix9Bot,telegram,High-value Telegram source: stable Telegram identity can serve as resolver source even when terminal domains rotate.,https://fmhy.net/non-english
9,Turquie,"tr,en/VO",PrimeIzle,"movie,tv",A,99,2160,4K/UHD,False,True,True,high,free-web,https://primeizle.com/,,direct,Selected titles in 4K Ultra HD; Türkçe dublaj + Türkçe altyazı preserves original-language viewing.,https://primeizle.com/
14,Turquie,"tr,en/VO",PrimeFilmIzle,movie,A,98,2160,4K/UHD,False,True,True,high,free-web,https://primefilmizle.com/,,direct,Many current titles explicitly tagged 4K with dubbed/subtitled alternatives.,https://primefilmizle.com/
22,Ukraine,"uk,en/VO",Vodafone TV UA,"movie,tv",A,96,2160,4K/UHD,False,True,True,high,subscription/trial,https://tv.vodafone.ua/en/,,official,10k+ movies and series with HD/4K; Ukrainian and international catalogue. Session/DRM risk to qualify.,https://tv.vodafone.ua/en/
33,Ukraine,uk,Kinostrain,"movie,tv,anime",A,92,0,HD/unknown,False,False,False,,,https://kinostrain.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
44,Ukraine,uk,UAKino-Bay,"movie,tv,anime",A,91,0,HD/unknown,False,False,False,,,https://uakino-bay.net/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
3,Vietnam,"vi,VO",TramPhim,"movie,tv,anime",A,100,2160,4K/UHD,False,True,True,high,free-web,https://tramphim5.org/,https://tramphim4.org/,redirect/mirror,"Explicit HD/4K plus Vietsub, thuyết minh, lồng tiếng and bilingual categories; excellent global-coverage profile.",https://tramphim5.org/
34,Vietnam,vi,Sofaflix,"movie,tv,anime",A,92,0,HD/unknown,False,False,False,,,https://sofaflix.shop/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
45,Vietnam,vi,kkphim,"movie,tv,anime",A,91,0,HD/unknown,False,False,False,,,https://kkphim.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
57,Vietnam,vi,NguonC,"movie,tv,anime",A,90,0,HD/unknown,False,False,False,,,https://phim.nguonc.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
10,Égypte / MENA,"ar,en/VO",Aflaam,"movie,tv,anime",A,99,2160,4K HDR,True,True,True,high,web-subscription/trial,https://aflaam.site/,,direct,Explicit 4K HDR + Dolby Atmos; Arabic/EN interface and international/anime catalogue. Auth model must be evaluated.,https://aflaam.site/
18,Égypte / MENA,"ar,en/VO",Tiger TV,"movie,tv",A,97,2160,4K/UHD,False,True,True,high,iptv-subscription,https://tiger-tv.com/content/movies/,https://tiger-tv.com/content/,catalogue-hub,"25k+ VOD movies/series, Arabic + international catalogue, professional Arabic subtitles and 4K. Lower implementation fit because subscription/IPTV.",https://tiger-tv.com/content/movies/
25,Égypte / MENA,ar,FaselHD,"movie,tv,anime",A,94,0,HD/unknown,False,False,False,,,https://web860x.faselhdx.life/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
11,Équateur,"es-LATAM,en",Cinecalidad,"movie,tv,animation",A,99,2160,4K/2160p,False,True,True,high,free-web,https://www.cinecalidad.ec/,,direct,"Explicit 4K 2160p / Full HD, Latino + English audio. Strong LATAM quality candidate.",https://cinecalidades.com/
85,Équateur,es,Ecuador TV,"tv,series,on-demand",B,84,0,HD/unknown,False,False,False,,,https://www.ecuadortv.ec/,,official,Official Ecuador TV platform relaunched in February 2026 with live viewing and on-demand programmes; country-coverage candidate.,https://www.ecuadortv.ec/
